"predictor_type","var1","var2","cramers_v","p_value","n_categories","n_valid_cases","var1_type","var2_type"
"interaction","lifestyle_consClothes","ses_incomeCensus",0.188008541176777,0.000602412225925219,28,1101,"lifestyle","ses"
"interaction","lifestyle_favAlcool","lifestyle_volunteeringFreq",0.184098828187124,9.52925114284718e-05,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_favAlcool","lifestyle_volunteeringFreq_factor",0.184098828187124,9.52925114284718e-05,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_favAlcool","lifestyle_volunteeringFreq_numeric",0.184098828187124,9.52925114284718e-05,25,1101,"lifestyle","lifestyle"
"interaction","ses_sexOrientationHetero","lifestyle_ownPet",0.18009494642273,1.56866045419309e-12,14,1101,"ses","lifestyle"
"interaction","ses_dwelling_cat","lifestyle_consClothes",0.179891382041743,0.00758075898005646,28,1101,"ses","lifestyle"
"interaction","lifestyle_goFishingFreq","lifestyle_volunteeringFreq",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq","lifestyle_volunteeringFreq_factor",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq","lifestyle_volunteeringFreq_numeric",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_factor","lifestyle_volunteeringFreq",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_factor","lifestyle_volunteeringFreq_factor",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_factor","lifestyle_volunteeringFreq_numeric",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_numeric","lifestyle_volunteeringFreq",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_numeric","lifestyle_volunteeringFreq_factor",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_numeric","lifestyle_volunteeringFreq_numeric",0.177998556570687,0.00087200595197122,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq","lifestyle_goMuseumsFreq",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq","lifestyle_goMuseumsFreq_factor",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq","lifestyle_goMuseumsFreq_numeric",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_factor","lifestyle_goMuseumsFreq",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_factor","lifestyle_goMuseumsFreq_factor",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_factor","lifestyle_goMuseumsFreq_numeric",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_numeric","lifestyle_goMuseumsFreq",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_numeric","lifestyle_goMuseumsFreq_factor",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goFishingFreq_numeric","lifestyle_goMuseumsFreq_numeric",0.177299617729477,0.00110115135746809,25,1101,"lifestyle","lifestyle"
"interaction","ses_sexOrientationHetero","lifestyle_eatMeatFreq",0.175552929202218,2.75156543427032e-11,14,1101,"ses","lifestyle"
"interaction","ses_sexOrientationHetero","lifestyle_consCoffee",0.175403776432698,3.01516751611623e-11,14,1101,"ses","lifestyle"
"interaction","lifestyle_goMuseumsFreq","lifestyle_motorizedActFreq",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goMuseumsFreq","lifestyle_motorizedActFreq_factor",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goMuseumsFreq","lifestyle_motorizedActFreq_numeric",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goMuseumsFreq_factor","lifestyle_motorizedActFreq",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goMuseumsFreq_factor","lifestyle_motorizedActFreq_factor",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goMuseumsFreq_factor","lifestyle_motorizedActFreq_numeric",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goMuseumsFreq_numeric","lifestyle_motorizedActFreq",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goMuseumsFreq_numeric","lifestyle_motorizedActFreq_factor",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goMuseumsFreq_numeric","lifestyle_motorizedActFreq_numeric",0.175403311509108,0.00203039247548708,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_numberTattoos","lifestyle_volunteeringFreq",0.175198258068128,0.0844853345194733,30,1101,"lifestyle","lifestyle"
"interaction","lifestyle_numberTattoos","lifestyle_volunteeringFreq_factor",0.175198258068128,0.0844853345194733,30,1101,"lifestyle","lifestyle"
"interaction","lifestyle_numberTattoos","lifestyle_volunteeringFreq_numeric",0.175198258068128,0.0844853345194733,30,1101,"lifestyle","lifestyle"
"interaction","ses_age_4Cat","lifestyle_favAlcool",0.175088926046275,4.8305628774393e-06,20,1101,"ses","lifestyle"
"interaction","lifestyle_eatMeatFreq","ses_income_3Cat",0.174884528552633,2.26618237331128e-05,21,1101,"lifestyle","ses"
"interaction","lifestyle_exercise","ses_income_3Cat",0.173344112019004,0.00145646985587422,24,1101,"lifestyle","ses"
"interaction","lifestyle_typeTransport","lifestyle_eatMeatFreq",0.173342221695468,4.26609244595753e-05,21,1101,"lifestyle","lifestyle"
"interaction","lifestyle_clothingStyleGroups","ses_income",0.172580418377455,0.00185945747399102,24,1101,"lifestyle","ses"
"interaction","lifestyle_eatMeatFreq","ses_educ_3Cat",0.172497020938328,5.9833016762612e-05,21,1101,"lifestyle","ses"
"interaction","ses_sexOrientationHetero","lifestyle_ownPet_bin",0.172402956320618,2.89124512826931e-14,4,1101,"ses","lifestyle"
"interaction","ses_dwelling_cat","ses_sexOrientationHetero",0.172284651387954,1.96674887180895e-10,14,1101,"ses","ses"
"interaction","lifestyle_favAlcool","lifestyle_motorizedActFreq",0.171965498094809,0.00568932627914508,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_favAlcool","lifestyle_motorizedActFreq_factor",0.171965498094809,0.00568932627914508,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_favAlcool","lifestyle_motorizedActFreq_numeric",0.171965498094809,0.00568932627914508,25,1101,"lifestyle","lifestyle"
"interaction","ses_sexOrientation","lifestyle_clothingStyleGroups",0.170517769189281,3.3918526520618e-12,12,1101,"ses","lifestyle"
"interaction","ses_sexOrientation","ses_income_3Cat",0.169515681371852,6.3755558915463e-12,12,1101,"ses","ses"
"interaction","ses_sexOrientationHetero","lifestyle_exercise",0.169438603583817,7.19022611539574e-08,16,1101,"ses","lifestyle"
"interaction","lifestyle_clothingStyleGroups","lifestyle_favAlcool",0.169332044690944,9.92686733870942e-09,15,1101,"lifestyle","lifestyle"
"interaction","ses_immigrant","ses_sexOrientationHetero",0.169022549181531,1.51229935055056e-13,4,1101,"ses","ses"
"interaction","ses_sexOrientationHetero","lifestyle_volunteeringFreq_bin",0.168919211953089,1.58969125073187e-13,4,1101,"ses","lifestyle"
"interaction","lifestyle_volunteeringFreq","lifestyle_motorizedActFreq",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_volunteeringFreq","lifestyle_motorizedActFreq_factor",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_volunteeringFreq","lifestyle_motorizedActFreq_numeric",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_volunteeringFreq_factor","lifestyle_motorizedActFreq",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_volunteeringFreq_factor","lifestyle_motorizedActFreq_factor",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
